program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
OemGlobalNvsSmm,00001504,FUN_00001504,67,auto,no,,,,OemGlobalNvsSmm/00001504.asm
OemGlobalNvsSmm,00001548,query_interface_via_offset_0x50,46,annotation,yes,,,,OemGlobalNvsSmm/00001548.asm
OemGlobalNvsSmm,00001578,forward_by_range_test,57,annotation,yes,,,,OemGlobalNvsSmm/00001578.asm
OemGlobalNvsSmm,000015B4,find_cached_entry_by_16_byte_key,105,annotation,yes,,,,OemGlobalNvsSmm/000015B4.asm
OemHddHeadParkSmm,00001000,save_cpu_context_and_jump,194,annotation,yes,,,,OemHddHeadParkSmm/00001000.asm
OemHddHeadParkSmm,000010D0,restore_cpu_context_and_jump,172,annotation,yes,,,,OemHddHeadParkSmm/000010D0.asm
OemHddHeadParkSmm,00001180,module_entry_locate_and_dispatch,160,annotation,yes,,,,OemHddHeadParkSmm/00001180.asm
OemHddHeadParkSmm,000012C0,locate_three_protocols_and_invoke,219,annotation,yes,,,,OemHddHeadParkSmm/000012C0.asm
OemHddHeadParkSmm,0000139C,nop_stub_return,3,annotation,yes,,,,OemHddHeadParkSmm/0000139C.asm
OemHddHeadParkSmm,000013A0,find_table_entry_by_16_byte_id,269,annotation,yes,,,,OemHddHeadParkSmm/000013A0.asm
OemHddHeadParkSmm,000014B0,protocol_vtbl0_call_with_5_args,124,annotation,yes,,,,OemHddHeadParkSmm/000014B0.asm
OemHddHeadParkSmm,0000152C,protocol_vtbl10_call_with_null_args,104,annotation,yes,,,,OemHddHeadParkSmm/0000152C.asm
OemHddHeadParkSmm,0000159C,branch_on_value_4_or_5,53,annotation,yes,,,,OemHddHeadParkSmm/0000159C.asm
OemHddHeadParkSmm,000015D4,out_port_80_then_call_vtbl_68,272,annotation,yes,,,,OemHddHeadParkSmm/000015D4.asm
OemHddHeadParkSmm,00001730,memset_u8,81,annotation,yes,,,,OemHddHeadParkSmm/00001730.asm
OemHooks,00000260,cpu_pause,3,annotation,yes,,,,OemHooks/00000260.asm
OemHooks,00000270,read_tsc,10,annotation,yes,,,,OemHooks/00000270.asm
OemHooks,00000280,enable_interrupts,2,annotation,yes,,,,OemHooks/00000280.asm
OemHooks,00000290,disable_interrupts,2,annotation,yes,,,,OemHooks/00000290.asm
OemHooks,000002A0,read_eflags,3,annotation,yes,,,,OemHooks/000002A0.asm
OemHooks,00000310,entry,28,annotation,no,,,,OemHooks/00000310.asm
OemHooks,0000032C,lookup_record_table_and_invoke,265,annotation,yes,,,,OemHooks/0000032C.asm
OemHooks,00000438,FUN_00000438,850,annotation,no,,,,OemHooks/00000438.asm
OemHooks,0000078C,ec_write_port_byte,119,annotation,yes,,,,OemHooks/0000078C.asm
OemHooks,00000804,FUN_00000804,133,auto,no,,,,OemHooks/00000804.asm
OemHooks,0000088C,ec_wait_ibf_clear,99,annotation,yes,,,,OemHooks/0000088C.asm
OemHooks,000008F0,ec_write_command_data,198,annotation,yes,,,,OemHooks/000008F0.asm
OemHooks,000009B8,ec_write_reg_byte,72,annotation,yes,,,,OemHooks/000009B8.asm
OemHooks,00000A00,ec_read_reg_byte,155,annotation,yes,,,,OemHooks/00000A00.asm
OemHooks,00000A9C,find_cached_entry_by_tag,105,annotation,yes,,,,OemHooks/00000A9C.asm
OemHooks,00000B08,delay_by_counter_ticks,96,annotation,yes,,,,OemHooks/00000B08.asm
OemHooks,00000B68,FUN_00000b68,49,auto,no,,,,OemHooks/00000B68.asm
OemHooksPei,FFF81031,entry,334,entry,no,,,,OemHooksPei/FFF81031.asm
OemHooksPei,FFF8117F,FUN_fff8117f,77,auto,no,,,,OemHooksPei/FFF8117F.asm
OemHooksPei,FFF811CC,read_pad_config_word,193,annotation,yes,,,,OemHooksPei/FFF811CC.asm
OemHooksPei,FFF812B0,set_pad_index6_or_7_word,157,annotation,yes,,,,OemHooksPei/FFF812B0.asm
OemHooksPei,FFF8134D,set_composite_pad_value,58,annotation,yes,,,,OemHooksPei/FFF8134D.asm
OemHooksPei,FFF81387,read_pad_bit_field,106,annotation,yes,,,,OemHooksPei/FFF81387.asm
OemHooksPei,FFF813F1,read_index6_word,44,annotation,yes,,,,OemHooksPei/FFF813F1.asm
OemHooksPei,FFF8141D,FUN_fff8141d,79,auto,no,,,,OemHooksPei/FFF8141D.asm
OemHooksPei,FFF8146C,read_index7_word,44,annotation,yes,,,,OemHooksPei/FFF8146C.asm
OemHooksPei,FFF81498,FUN_fff81498,79,auto,no,,,,OemHooksPei/FFF81498.asm
OemHooksPei,FFF814E7,clear_index6_bits,48,annotation,yes,,,,OemHooksPei/FFF814E7.asm
OemHooksPei,FFF81517,write_index6_mask,45,annotation,yes,,,,OemHooksPei/FFF81517.asm
OemHooksPei,FFF81544,write_index6_bit,33,annotation,yes,,,,OemHooksPei/FFF81544.asm
OemHooksPei,FFF81565,clear_index7_bits,48,annotation,yes,,,,OemHooksPei/FFF81565.asm
OemHooksPei,FFF81595,write_index7_mask,45,annotation,yes,,,,OemHooksPei/FFF81595.asm
OemHooksPei,FFF815C2,compute_max_entry_bound,27,annotation,yes,,,,OemHooksPei/FFF815C2.asm
OemHooksPei,FFF815DD,compute_min_entry_bound,25,annotation,yes,,,,OemHooksPei/FFF815DD.asm
OemHooksPei,FFF815F6,classify_device_id,74,annotation,yes,,,,OemHooksPei/FFF815F6.asm
OemHooksPei,FFF81640,is_device_class_2,15,annotation,yes,,,,OemHooksPei/FFF81640.asm
OemHooksPei,FFF8164F,is_device_class_1,15,annotation,yes,,,,OemHooksPei/FFF8164F.asm
OemHooksPei,FFF8165E,swap_dword_halves,39,annotation,yes,,,,OemHooksPei/FFF8165E.asm
OemHooksPei,FFF81685,FUN_fff81685,173,auto,no,,,,OemHooksPei/FFF81685.asm
OemHooksPei,FFF81732,write_cfg_magic_word,81,annotation,yes,,,,OemHooksPei/FFF81732.asm
OemHooksPei,FFF81783,write_port_0x66,71,annotation,yes,,,,OemHooksPei/FFF81783.asm
OemHooksPei,FFF817CA,write_port_0x62,74,annotation,yes,,,,OemHooksPei/FFF817CA.asm
OemHooksPei,FFF81814,drain_port_0x62_to_0x80,74,annotation,yes,,,,OemHooksPei/FFF81814.asm
OemHooksPei,FFF8185E,wait_for_port_0x66_bit1,59,annotation,yes,,,,OemHooksPei/FFF8185E.asm
OemHooksPei,FFF81899,write_two_bytes_via_0x66_0x62,51,annotation,yes,,,,OemHooksPei/FFF81899.asm
OemHooksPei,FFF818CC,write_three_bytes_via_0x66_0x62,51,annotation,yes,,,,OemHooksPei/FFF818CC.asm
OemHooksPei,FFF818FF,delay_1808_counter,73,annotation,yes,,,,OemHooksPei/FFF818FF.asm
OemHooksPei,FFF81948,scale_count_then_busy_wait,71,annotation,yes,,,,OemHooksPei/FFF81948.asm
OemHooksPei,FFF8198F,is_callee_out_value_zero,23,annotation,yes,,,,OemHooksPei/FFF8198F.asm
OemHooksPei,FFF819A6,check_selector_within_table_range,88,annotation,yes,,,,OemHooksPei/FFF819A6.asm
OemHooksPei,FFF819FE,set_bitfield_in_mapped_register,223,annotation,yes,,,,OemHooksPei/FFF819FE.asm
OemHooksPei,FFF81ADD,select_table_by_platform_predicate,35,annotation,yes,,,,OemHooksPei/FFF81ADD.asm
OemHooksPei,FFF81B00,FUN_fff81b00,264,auto,no,,,,OemHooksPei/FFF81B00.asm
OemHooksPei,FFF81C08,check_flag_bit12_after_predicate,30,annotation,yes,,,,OemHooksPei/FFF81C08.asm
OemHooksPei,FFF81C26,read_flag_bit_from_selected_dword,34,annotation,yes,,,,OemHooksPei/FFF81C26.asm
OemHooksPei,FFF81C65,read_config_word_via_cf8_cfc,89,annotation,yes,,,,OemHooksPei/FFF81C65.asm
OemHooksPei,FFF81CBE,write_config_word_via_cf8_cfc,94,annotation,yes,,,,OemHooksPei/FFF81CBE.asm
OemHooksSmm,00001000,asm_context_save,194,annotation,yes,,,,OemHooksSmm/00001000.asm
OemHooksSmm,000010D0,asm_context_restore,172,annotation,yes,,,,OemHooksSmm/000010D0.asm
OemHooksSmm,0000117C,module_entry,195,entry,yes,,,,OemHooksSmm/0000117C.asm
OemHooksSmm,00001240,empty_ret_stub,3,annotation,yes,,,,OemHooksSmm/00001240.asm
OemI2cDevices,000002C0,cpu_pause,3,annotation,yes,,,,OemI2cDevices/000002C0.asm
OemI2cDevices,000002D0,read_tsc,10,annotation,yes,,,,OemI2cDevices/000002D0.asm
