program,addr,name,outcome,instructions_checked,instructions_unchecked,detail,assembler
bank0,B053,FUN_CODE_b053,match,10,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B065,FUN_CODE_b065,match,62,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B0DC,FUN_CODE_b0dc,match,27,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B112,check_0xB112,match,7,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B12C,manual_ctrl_profile_gate,match,24,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B158,charge_target_update,match,75,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B1F0,charge_stress_update,partial,190,8,"8 of 198 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B35E,FUN_CODE_b35e,partial,28,2,"2 of 30 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B38D,FUN_CODE_b38d,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B38E,FUN_CODE_b38e,partial,45,1,"1 of 46 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B3E4,FUN_CODE_b3e4,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B3F0,FUN_CODE_b3f0,partial,17,2,"2 of 19 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B40C,FUN_CODE_b40c,partial,59,1,"1 of 60 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B461,FUN_CODE_b461,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B46C,FUN_CODE_b46c,match,32,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B4A8,FUN_CODE_b4a8,match,121,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
