addr,name,from_register,register_status,derivation,programs
0x040A,XDATA_040A,XDATA_040A,present-untested,scalar-name,bank0;bank1
0x040C,XDATA_040C,XDATA_040C,present-untested,scalar-name,bank0;bank1
0x040E,XDATA_040E,XDATA_040E,present-untested,scalar-name,bank0;bank1
0x0410,XDATA_0410,XDATA_0410,present-untested,scalar-name,bank0;bank1
0x0420,XDATA_0420,XDATA_0420,present-untested,scalar-name,bank0;bank1
0x0432,BAT_STATUS_1,BAT_STATUS_1,present-untested,scalar-name,bank0;bank1
0x0434,BAT_CURRENT_MA_0,BAT_CURRENT_MA,present-untested,override,bank0;bank1
0x0435,BAT_CURRENT_MA_1,BAT_CURRENT_MA,present-untested,override,bank0;bank1
0x0436,XDATA_0436_0,XDATA_0436_PAIR,present-untested,override,bank0;bank1
0x0437,XDATA_0436_1,XDATA_0436_PAIR,present-untested,override,bank0;bank1
0x0438,BAT_VOLTAGE_MV_0,BAT_VOLTAGE_MV,present-untested,override,bank0;bank1
0x0439,BAT_VOLTAGE_MV_1,BAT_VOLTAGE_MV,present-untested,override,bank0;bank1
0x043A,XDATA_043A,XDATA_043A,present-untested,scalar-name,bank0;bank1
0x043C,XDATA_043C,XDATA_043C,present-untested,scalar-name,bank0;bank1
0x043D,XDATA_043D,XDATA_043D,present-untested,scalar-name,bank0;bank1
0x043F,XDATA_043F,XDATA_043F,present-untested,scalar-name,bank0;bank1
0x0440,XDATA_0440,XDATA_0440,present-untested,scalar-name,bank0;bank1
0x0442,XDATA_0442,XDATA_0442,present-untested,scalar-name,bank0;bank1
0x0443,XDATA_0443,XDATA_0443,present-untested,scalar-name,bank0;bank1
0x0448,XDATA_0448,XDATA_0448,present-untested,scalar-name,bank0;bank1
0x0449,XDATA_0449,XDATA_0449,present-untested,scalar-name,bank0;bank1
0x044B,XDATA_044B,XDATA_044B,present-untested,scalar-name,bank0;bank1
0x044C,XDATA_044C,XDATA_044C,present-untested,scalar-name,bank0;bank1
0x0450,XDATA_0450,XDATA_0450,present-untested,scalar-name,bank0;bank1
0x0451,XDATA_0451,XDATA_0451,present-untested,scalar-name,bank0;bank1
0x0452,XDATA_0452,XDATA_0452,present-untested,scalar-name,bank0;bank1
0x0454,XDATA_0454,XDATA_0454,present-untested,scalar-name,bank0;bank1
0x0455,XDATA_0455,XDATA_0455,present-untested,scalar-name,bank0;bank1
0x0456,SYSTEM_ID,SYSTEM_ID,present-untested,scalar-name,bank0;bank1
0x0457,XDATA_0457,XDATA_0457,present-untested,scalar-name,bank0;bank1
0x0458,XDATA_0458,XDATA_0458,present-untested,scalar-name,bank0;bank1
0x0459,XDATA_0459,XDATA_0459,present-untested,scalar-name,bank0;bank1
0x045A,XDATA_045A,XDATA_045A,present-untested,scalar-name,bank0;bank1
0x045B,XDATA_045B,XDATA_045B,present-untested,scalar-name,bank0;bank1
0x045C,XDATA_045C,XDATA_045C,present-untested,scalar-name,bank0;bank1
0x045D,XDATA_045D,XDATA_045D,present-untested,scalar-name,bank0;bank1
0x045E,XDATA_045E,XDATA_045E,present-untested,scalar-name,bank0;bank1
0x045F,XDATA_045F,XDATA_045F,present-untested,scalar-name,bank0;bank1
0x04A6,BAT_CYCLE_COUNT_0,BAT_CYCLE_COUNT,confirmed-working,override,bank0;bank1
0x04A7,BAT_CYCLE_COUNT_1,BAT_CYCLE_COUNT,confirmed-working,override,bank0;bank1
0x0522,CHARGE_TARGET_MV_0,CHARGE_TARGET_MV (charger constant-voltage target),confirmed-working,override,bank0;bank1
0x0523,CHARGE_TARGET_MV_1,CHARGE_TARGET_MV (charger constant-voltage target),confirmed-working,override,bank0;bank1
0x030E,SBS_CHARGING_VOLTAGE_0,SBS_CHARGING_VOLTAGE (pack-requested charge voltage),present-untested,override,bank0;bank1
0x030F,SBS_CHARGING_VOLTAGE_1,SBS_CHARGING_VOLTAGE (pack-requested charge voltage),present-untested,override,bank0;bank1
0x0783,CPU_PL1,CPU_PL1 / PL2 / PL4 (APL1/APL2/APL4),present-untested,name-split,bank0;bank1
0x0784,CPU_PL1_PL2,CPU_PL1 / PL2 / PL4 (APL1/APL2/APL4),present-untested,name-split,bank0;bank1
0x0785,CPU_PL1_PL4,CPU_PL1 / PL2 / PL4 (APL1/APL2/APL4),present-untested,name-split,bank0;bank1
0x0751,MANUAL_FAN_CTRL,MANUAL_FAN_CTRL (power mode / fan mode),present-untested,scalar-name,bank0;bank1
0x075B,MAIN_FAN_L_DUTY,"MAIN_FAN_L_DUTY (fan duty, published to the Control Center)",present-untested,scalar-name,bank0;bank1
0x075C,MAIN_FAN_R_DUTY,"MAIN_FAN_R_DUTY (fan duty, published to the Control Center)",present-untested,scalar-name,bank0;bank1
0x0782,BIOS_OEM_2,BIOS_OEM_2 (DEFAULT_MODE / FAN_QKEY / FAN_TABLE_OFFICE_MODE),present-untested,scalar-name,bank0;bank1
0x049F,BIOS_INFO_3,BIOS_INFO_3 (Turbo mode supported),present-untested,scalar-name,bank0;bank1
0x0730,MODE_PL_DEFAULTS_GAMING_PL1_0,MODE_PL_DEFAULTS (per-mode PL1/PL2/PL4/D-state defaults),present-untested,override,bank0;bank1
0x0731,MODE_PL_DEFAULTS_GAMING_PL2_1,MODE_PL_DEFAULTS (per-mode PL1/PL2/PL4/D-state defaults),present-untested,override,bank0;bank1
0x0732,MODE_PL_DEFAULTS_GAMING_PL4_2,MODE_PL_DEFAULTS (per-mode PL1/PL2/PL4/D-state defaults),present-untested,override,bank0;bank1
0x0733,MODE_PL_DEFAULTS_GAMING_DSTATE_3,MODE_PL_DEFAULTS (per-mode PL1/PL2/PL4/D-state defaults),present-untested,override,bank0;bank1
0x0734,MODE_PL_DEFAULTS_OFFICE_PL1_4,MODE_PL_DEFAULTS (per-mode PL1/PL2/PL4/D-state defaults),present-untested,override,bank0;bank1
0x0735,MODE_PL_DEFAULTS_OFFICE_PL2_5,MODE_PL_DEFAULTS (per-mode PL1/PL2/PL4/D-state defaults),present-untested,override,bank0;bank1
