callee_scope,callee_addr,citer_scope,citer_addr,verdict,gap,end,next,window,transfers,hit_site,hit_text,at_next,neighbour_edge,db,unassigned,truncated,frame_onto,frame_over
common,1606,bank0,C307,no-transfer,0,C30F,C30F,901606,,,,,,0,0,no,24,0
common,1606,bank0,C30F,no-transfer,0,C317,C317,901606,,,,,,0,0,no,24,0
common,1606,bank0,C317,no-transfer,0,C31F,C31F,901606,,,,,,0,0,no,24,0
common,1606,bank0,C31F,no-transfer,7,C32C,C333,901606e04480f0229016,,,,,,0,0,yes,24,0
common,1C00,bank0,D2BE,no-transfer,0,D2BF,D2BF,901c00,,,,,,0,0,no,24,0
common,1C00,bank0,D2BF,no-transfer,0,D2C2,D2C2,e09008,,,,,,0,0,yes,24,0
common,1C00,bank0,D2C2,no-transfer,0,D2CB,D2CB,901c05,,,,,,0,0,no,24,0
common,1C00,bank0,D2CB,no-transfer,0,D2D2,D2D2,74fff0,,,,,,0,0,no,24,0
common,1C00,bank1,AC6D,no-transfer,0,AC83,AC83,229004,,,,,,0,0,yes,24,0
common,1C00,bank1,C4D2,no-transfer,0,C4F0,C4F0,900975,,,,,,0,0,no,24,0
common,1C00,bank1,E27D,no-transfer,0,E2A0,E2A0,749a90,,,,,,0,0,yes,24,0
common,1C00,bank1,E2C3,no-transfer,0,E2D3,E2D3,90036c,,,,,,0,0,no,24,0
common,1C00,bank1,E4E9,no-transfer,0,E4F9,E4F9,f09006,,,,,,0,0,yes,24,0
common,1C00,bank1,E4F9,no-transfer,0,E501,E501,e49003,,,,,,0,0,yes,24,0
common,1C14,bank0,D2EF,no-transfer,0,D304,D304,901c38,,,,,,0,0,no,24,0
common,2002,bank1,881B,no-transfer,0,8834,8834,e49022,,,,,,0,0,yes,24,0
common,30DF,common,3BDD,no-transfer,0,3BE4,3BE4,900a4e,,,,,common:2DE3 lcall,0,0,no,24,0
common,3459,common,355E,boundary-cut,25,355F,3578,306315c26378ade66433600c1235f67880e6700478a1e62222023459,0x356B lcall 0x35f6; 0x3578 ljmp 0x3459,0x3578,ljmp 0x3459,yes,common:3578 ljmp,0,0,no,24,0
common,34C6,common,355E,no-transfer,25,355F,3578,306315c26378ade66433600c1235f67880e6700478a1e62222023459,0x356B lcall 0x35f6; 0x3578 ljmp 0x3459,,,,common:3555 ljmp,0,0,no,24,0
common,3609,common,3BDD,no-transfer,0,3BE4,3BE4,900a4e,,,,,common:2F1D lcall,0,0,no,24,0
