file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x0D51F,bank0,0xD51F,jc,2,0x03,0xD524,0x0D524,yes,entry,23,1,,
0x0D52A,bank0,0xD52A,sjmp,2,0x60,0xD58C,0x0D58C,yes,other,0,24,,
0x0D52B,bank0,0xD52B,jz,2,0x04,0xD531,0x0D531,yes,entry,23,1,,
0x0D52E,bank0,0xD52E,cjne,3,0x0A,0xD53B,0x0D53B,yes,entry,24,0,,
0x0D535,bank0,0xD535,jb,3,0x2D,0xD565,0x0D565,yes,other,24,0,,
0x0D540,bank0,0xD540,cjne,3,0x03,0xD546,0x0D546,yes,entry,24,0,,
0x0D547,bank0,0xD547,cjne,3,0x03,0xD54D,0x0D54D,yes,entry,24,0,,
0x0D54E,bank0,0xD54E,cjne,3,0x14,0xD565,0x0D565,yes,other,24,0,,
0x0D553,bank0,0xD553,djnz,2,0xE0,0xD535,0x0D535,yes,entry,1,23,,
0x0D55E,bank0,0xD55E,djnz,2,0xF0,0xD550,0x0D550,yes,other,0,24,,
0x0D563,bank0,0xD563,djnz,2,0xF0,0xD555,0x0D555,yes,other,1,23,,
0x0D56C,bank0,0xD56C,jbc,3,0xE0,0xD54F,0x0D54F,yes,other,0,24,,
0x0D574,bank0,0xD574,jbc,3,0xE0,0xD557,0x0D557,yes,other,0,24,,
0x0D57E,bank0,0xD57E,cjne,3,0x08,0xD589,0x0D589,yes,other,0,24,,
0x0D593,bank0,0xD593,cjne,3,0x08,0xD59E,0x0D59E,yes,other,0,24,,
0x0D5BF,bank0,0xD5BF,djnz,3,0xD4,0xD596,0x0D596,yes,other,0,24,,
0x0D5C5,bank0,0xD5C5,djnz,2,0x91,0xD558,0x0D558,yes,other,1,23,,
0x0D5D2,bank0,0xD5D2,djnz,3,0x90,0xD565,0x0D565,yes,other,0,24,,
0x0D5D9,bank0,0xD5D9,sjmp,2,0x2C,0xD607,0x0D607,yes,other,24,0,,
0x0D5DF,bank0,0xD5DF,jnb,3,0x08,0xD5EA,0x0D5EA,yes,entry,24,0,,
0x0D5E8,bank0,0xD5E8,sjmp,2,0xF1,0xD5DB,0x0D5DB,yes,entry,24,0,,
0x0D5F0,bank0,0xD5F0,jnb,3,0xE8,0xD5DB,0x0D5DB,yes,entry,24,0,,
