addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x04A8,2,1,1,0,0,1,1
0x04A9,0,0,0,0,0,0,0
0x04AA,1,1,0,0,0,1,0
0x04AB,16,16,0,0,8,8,0
0x04AC,2,2,0,0,0,2,0
0x04AD,1,1,0,0,0,1,0
0x04AE,6,6,0,0,0,6,0
0x04AF,1,1,0,0,0,1,0
0x04B0,0,0,0,0,0,0,0
0x04B1,2,2,0,0,0,2,0
0x04B2,0,0,0,0,0,0,0
0x04B3,0,0,0,0,0,0,0
0x04B4,0,0,0,0,0,0,0
0x04B5,0,0,0,0,0,0,0
0x04B6,0,0,0,0,0,0,0
0x04B7,0,0,0,0,0,0,0
0x04B8,0,0,0,0,0,0,0
0x04B9,0,0,0,0,0,0,0
0x04BA,0,0,0,0,0,0,0
0x04BB,1,1,0,0,0,1,0
0x04BC,0,0,0,0,0,0,0
0x04BD,1,1,0,0,0,1,0
0x04BE,3,3,0,0,0,3,0
0x04BF,1,1,0,0,0,1,0
0x04C0,0,0,0,0,0,0,0
0x04C1,0,0,0,0,0,0,0
0x04C2,0,0,0,0,0,0,0
0x04C3,0,0,0,0,0,0,0
0x04C4,0,0,0,0,0,0,0
0x04C5,0,0,0,0,0,0,0
0x04C6,0,0,0,0,0,0,0
0x04C7,0,0,0,0,0,0,0
0x04C8,0,0,0,0,0,0,0
0x04C9,0,0,0,0,0,0,0
0x04CA,0,0,0,0,0,0,0
0x04CB,0,0,0,0,0,0,0
0x04CC,0,0,0,0,0,0,0
0x04CD,0,0,0,0,0,0,0
0x04CE,0,0,0,0,0,0,0
0x04CF,0,0,0,0,0,0,0
0x04D0,0,0,0,0,0,0,0
0x04D1,0,0,0,0,0,0,0
0x04D2,0,0,0,0,0,0,0
0x04D3,0,0,0,0,0,0,0
0x04D4,0,0,0,0,0,0,0
0x04D5,0,0,0,0,0,0,0
0x04D6,0,0,0,0,0,0,0
0x04D7,0,0,0,0,0,0,0
0x04D8,0,0,0,0,0,0,0
0x04D9,0,0,0,0,0,0,0
0x04DA,0,0,0,0,0,0,0
0x04DB,0,0,0,0,0,0,0
0x04DC,0,0,0,0,0,0,0
0x04DD,1,1,0,0,1,0,0
0x04DE,0,0,0,0,0,0,0
0x04DF,0,0,0,0,0,0,0
0x04E0,0,0,0,0,0,0,0
0x04E1,0,0,0,0,0,0,0
0x04E2,0,0,0,0,0,0,0
0x04E3,0,0,0,0,0,0,0
0x04E4,0,0,0,0,0,0,0
0x04E5,0,0,0,0,0,0,0
0x04E6,0,0,0,0,0,0,0
0x04E7,0,0,0,0,0,0,0
0x04E8,0,0,0,0,0,0,0
0x04E9,0,0,0,0,0,0,0
0x04EA,0,0,0,0,0,0,0
0x04EB,0,0,0,0,0,0,0
0x04EC,0,0,0,0,0,0,0
0x04ED,0,0,0,0,0,0,0
0x04EE,0,0,0,0,0,0,0
0x04EF,0,0,0,0,0,0,0
0x04F0,0,0,0,0,0,0,0
0x04F1,0,0,0,0,0,0,0
0x04F2,6,6,0,0,0,6,0
0x04F3,0,0,0,0,0,0,0
0x04F4,3,3,0,0,0,3,0
0x04F5,0,0,0,0,0,0,0
0x04F6,3,3,0,0,0,3,0
0x04F7,0,0,0,0,0,0,0
0x04F8,1,1,0,0,0,1,0
0x04F9,0,0,0,0,0,0,0
0x04FA,0,0,0,0,0,0,0
0x04FB,0,0,0,0,0,0,0
0x04FC,5,5,0,0,0,5,0
0x04FD,0,0,0,0,0,0,0
0x04FE,10,10,0,0,1,9,0
0x04FF,6,6,0,0,0,6,0
0x0500,0,0,0,0,0,0,0
0x0501,0,0,0,0,0,0,0
0x0502,7,7,0,0,0,7,0
0x0503,1,1,0,0,0,1,0
0x0504,2,2,0,0,0,2,0
0x0505,1,1,0,0,0,1,0
0x0506,9,9,0,0,0,9,0
0x0507,1,1,0,0,0,1,0
0x0508,3,3,0,0,0,3,0
0x0509,1,1,0,0,0,1,0
0x050A,2,2,0,0,0,2,0
0x050B,1,1,0,0,0,1,0
0x050C,1,1,0,0,0,1,0
0x050D,1,1,0,0,0,1,0
0x050E,3,3,0,0,0,3,0
0x050F,0,0,0,0,0,0,0
0x0510,1,1,0,0,0,1,0
0x0511,0,0,0,0,0,0,0
0x0512,1,1,0,0,0,1,0
0x0513,0,0,0,0,0,0,0
0x0514,34,34,0,0,0,34,0
0x0515,0,0,0,0,0,0,0
0x0516,3,3,0,0,0,3,0
0x0517,0,0,0,0,0,0,0
0x0518,5,5,0,0,0,5,0
0x0519,1,1,0,0,0,1,0
0x051A,1,1,0,0,0,1,0
0x051B,1,1,0,0,0,1,0
0x051C,3,3,0,0,0,3,0
0x051D,0,0,0,0,0,0,0
0x051E,1,1,0,0,0,1,0
0x051F,0,0,0,0,0,0,0
0x0520,1,1,0,0,0,1,0
0x0521,0,0,0,0,0,0,0
0x0522,10,10,0,0,1,9,0
0x0523,1,1,0,0,1,0,0
0x0524,9,9,0,0,0,9,0
0x0525,1,1,0,0,0,1,0
0x0526,3,3,0,0,0,3,0
0x0527,1,1,0,0,0,1,0
0x0528,2,2,0,0,0,2,0
0x0529,1,1,0,0,0,1,0
0x052A,3,3,0,0,0,3,0
0x052B,0,0,0,0,0,0,0
0x052C,0,0,0,0,0,0,0
0x052D,0,0,0,0,0,0,0
0x052E,2,2,0,0,0,2,0
0x052F,0,0,0,0,0,0,0
0x0530,0,0,0,0,0,0,0
0x0531,0,0,0,0,0,0,0
0x0532,1,1,0,0,0,1,0
0x0533,0,0,0,0,0,0,0
0x0534,1,1,0,0,0,1,0
0x0535,0,0,0,0,0,0,0
0x0536,1,1,0,0,0,1,0
0x0537,0,0,0,0,0,0,0
0x0538,1,1,0,0,0,1,0
0x0539,13,13,0,0,1,12,0
0x053A,2,2,0,0,0,2,0
0x053B,0,0,0,0,0,0,0
0x053C,2,2,0,0,0,2,0
0x053D,0,0,0,0,0,0,0
0x053E,2,2,0,0,0,2,0
0x053F,0,0,0,0,0,0,0
0x0540,2,2,0,0,0,2,0
0x0541,0,0,0,0,0,0,0
0x0542,3,3,0,0,0,3,0
0x0543,0,0,0,0,0,0,0
0x0544,2,2,0,0,0,2,0
0x0545,0,0,0,0,0,0,0
0x0546,2,2,0,0,0,2,0
0x0547,0,0,0,0,0,0,0
0x0548,2,2,0,0,0,2,0
0x0549,0,0,0,0,0,0,0
0x054A,0,0,0,0,0,0,0
0x054B,0,0,0,0,0,0,0
0x054C,6,6,0,0,0,6,0
0x054D,1,1,0,0,0,1,0
0x054E,1,1,0,0,0,1,0
0x054F,0,0,0,0,0,0,0
0x0550,0,0,0,0,0,0,0
0x0551,0,0,0,0,0,0,0
0x0552,0,0,0,0,0,0,0
0x0553,0,0,0,0,0,0,0
0x0554,0,0,0,0,0,0,0
0x0555,0,0,0,0,0,0,0
0x0556,0,0,0,0,0,0,0
0x0557,0,0,0,0,0,0,0
0x0558,0,0,0,0,0,0,0
0x0559,0,0,0,0,0,0,0
0x055A,0,0,0,0,0,0,0
0x055B,0,0,0,0,0,0,0
0x055C,0,0,0,0,0,0,0
0x055D,0,0,0,0,0,0,0
0x055E,0,0,0,0,0,0,0
0x055F,3,3,0,0,0,3,0
0x0560,5,5,0,0,0,5,0
0x0561,5,5,0,0,0,5,0
0x0562,1,1,0,0,0,1,0
0x0563,2,2,0,0,0,2,0
0x0564,2,2,0,0,0,2,0
0x0565,0,0,0,0,0,0,0
0x0566,1,1,0,0,0,1,0
0x0567,4,4,0,0,0,4,0
0x0568,5,5,0,0,0,5,0
0x0569,0,0,0,0,0,0,0
0x056A,7,7,0,0,0,7,0
0x056B,6,6,0,0,0,6,0
0x056C,1,1,0,0,0,1,0
0x056D,0,0,0,0,0,0,0
0x056E,2,2,0,0,0,2,0
0x056F,0,0,0,0,0,0,0
0x0570,0,0,0,0,0,0,0
0x0571,2,2,0,0,0,2,0
0x0572,7,7,0,0,0,7,0
