scope,addr,name,annotated,also_in,inbound,lcall,ljmp,ajmp,acall,callers,named_callers,cited_by,citing
bank0,BAAE,load_r7_r6_from_0608_and_return_0399,yes,,4,4,0,0,0,2,1,0,
bank0,BB55,set_cy_before_043e_sub,yes,,4,4,0,0,0,3,0,0,
bank0,BBB3,store_code_byte_to_08c0,yes,,4,4,0,0,0,1,1,0,
bank0,BBBD,store_code_byte_to_08c3,yes,,4,4,0,0,0,1,1,0,
bank0,BC5F,inc_09e4_and_return_new,yes,,4,4,0,0,0,2,1,0,
bank0,BC85,clear_08a9_and_08aa,yes,,4,4,0,0,0,3,2,0,
bank0,BC8D,cfg_cell_count_selector,yes,,4,4,0,0,0,3,2,0,
bank0,BCA9,clear_08a5_and_08a6,yes,,4,4,0,0,0,2,2,0,
bank0,BD79,tail_call_7110_with_b6,yes,,4,4,0,0,0,1,1,0,
bank0,C4F0,write_40_to_dptr_then_read_1601,yes,,4,4,0,0,0,2,2,0,
bank0,DE4D,init_0046_to_64_and_clear_af,yes,,4,4,0,0,0,4,4,0,
bank0,E256,dispatch_on_0046_copy_status_to_0083,yes,,4,0,4,0,0,4,4,0,
bank0,E51E,write_ff_fa_r5_r7_to_0f60_63,yes,,4,4,0,0,0,4,3,0,
bank0,F0B3,store_0f_80_and_setup_regs,yes,,4,4,0,0,0,4,4,0,
bank0,F0ED,set_0f60_88_and_0a56_0f_60,yes,,4,4,0,0,0,4,4,0,
bank0,F107,store_a_at_dptr_plus1,yes,,4,4,0,0,0,4,4,0,
bank0,F138,copy_0f81_to_0a58,yes,,4,4,0,0,0,4,4,0,
bank0,F151,write_ff_to_0f60,yes,,4,4,0,0,0,4,4,0,
bank0,F159,inc_dptr_byte_sub3,yes,,4,4,0,0,0,4,4,0,
bank1,1762,trampoline_to_c201,yes,,4,4,0,0,0,4,4,0,
bank1,1990,trampoline_to_c391,yes,,4,4,0,0,0,4,4,0,
bank1,19A2,trampoline_to_cf96,yes,,4,4,0,0,0,4,4,0,
bank1,19F0,load_dptr_c4e6_tail_jump_1100,yes,,4,4,0,0,0,4,3,0,
bank1,1A74,load_dptr_c43f_tail_jump_1100,yes,,4,4,0,0,0,3,3,0,
bank1,1A80,load_dptr_85de_tail_jump_1100,yes,,4,4,0,0,0,4,3,0,
bank1,85AE,clear_1c15_1c16_set_1c11_ff,yes,,4,4,0,0,0,4,3,0,
bank1,8844,ror16_r1r2_by_r7,yes,,4,4,0,0,0,2,2,0,
bank1,8E3B,write_r4_to_047f_then_047e_fc,yes,,4,1,3,0,0,2,2,0,
bank1,9FCA,exit_ret,yes,,4,0,4,0,0,2,1,0,
