addr,file_offset,region,runtime,frame_onto,frame_over,access,window,terminator
0x07D6,0x2CFB0,pd-image,0xCFB0,23,1,DPTR handed to lcall 0x0faf -- direction unresolved here,lcall 0x0faf,flow opcode
0x07D6,0x2D0F0,pd-image,0xD0F0,24,0,write x1,"mov a,r7 ; movx @dptr,a ; mov a,r5 ; xrl a,#0x01 ; jnz +0x21",flow opcode
0x07D6,0x2D10D,pd-image,0xD10D,20,4,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xb074",flow opcode
0x07D6,0x2D11B,pd-image,0xD11B,24,0,read x1,"movx a,@dptr ; mov r1,a ; lcall 0x9740",flow opcode
0x07D6,0x2D13F,pd-image,0xD13F,24,0,read x1,"movx a,@dptr ; mov r1,a ; lcall 0x97d5",flow opcode
0x07D6,0x2EF59,pd-image,0xEF59,24,0,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0x715e",flow opcode
0x07D6,0x2EF69,pd-image,0xEF69,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xed90",flow opcode
0x07D6,0x2EF71,pd-image,0xEF71,22,2,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0xe5b3",flow opcode
0x07D6,0x2EF79,pd-image,0xEF79,24,0,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0x716c",flow opcode
0x07D6,0x2EF89,pd-image,0xEF89,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xcbb0",flow opcode
0x07D6,0x2EF91,pd-image,0xEF91,22,2,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0xe5b3",flow opcode
0x07D6,0x2F035,pd-image,0xF035,24,0,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0x7021",flow opcode
0x07D6,0x2F040,pd-image,0xF040,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf126",flow opcode
0x07D6,0x2F048,pd-image,0xF048,24,0,read x1,"movx a,@dptr ; lcall 0x7140",flow opcode
0x07D6,0x2F247,pd-image,0xF247,24,0,write x1,"mov a,r7 ; movx @dptr,a ; clr a ; mov r4,a ; mov r5,#0x7f ; lcall 0xf3cc",flow opcode
0x07D6,0x2F253,pd-image,0xF253,24,0,DPTR handed to lcall 0x70a3 -- direction unresolved here,lcall 0x70a3,flow opcode
0x07D6,0x2F440,pd-image,0xF440,24,0,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0xabbf",flow opcode
0x07D6,0x2F448,pd-image,0xF448,23,1,read x1,"movx a,@dptr ; lcall 0x96ed",flow opcode
0x07D6,0x2F465,pd-image,0xF465,20,4,"read x1, write x1","mov a,r5 ; movx @dptr,a ; clr a ; mov r4,a ; mov r5,a ; mov r6,a ; movx a,@dptr",max_insns (8) exhausted
0x07D6,0x2F4CE,pd-image,0xF4CE,24,0,DPTR handed to lcall 0x70c7 -- direction unresolved here,lcall 0x70c7,flow opcode
0x07D7,0x234A2,pd-image,0x34A2,24,0,read x1,"movx a,@dptr",DPTR reloaded
0x07D7,0x235B7,pd-image,0x35B7,20,4,read x1,"movx a,@dptr",DPTR reloaded
0x07D7,0x25EE0,pd-image,0x5EE0,24,0,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0x350b",flow opcode
0x07D7,0x25EEF,pd-image,0x5EEF,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x01 ; mov r2,#0x07 ; mov r1,#0xd8",DPTR reloaded
0x07D7,0x25F31,pd-image,0x5F31,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf4bc",flow opcode
0x07D7,0x260AB,pd-image,0x60AB,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; lcall 0xf686",flow opcode
