ts,ac,status,capacity,charge_now,current_now,voltage_now,profile,ec_hex
2026-09-09T07:22:37+02:00,1,Charging,46,920000,1904000,16396000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200700798030c400000050032000700080000000000be24000143000030715502005200cb808001b300000000000000430508070000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000f40b7007be0195510a2e2e1209000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:23:38+02:00,1,Charging,47,940000,1904000,16419000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002007007ac0323400000050032000700080000000000be2000013f000031715502005200cb808001b30000000000000043050801000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000fe0b7007be0195510a2f2f120a000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:24:38+02:00,1,Charging,49,980000,1870000,16419000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002004e07d40323400000050034000700080000000000be1e00013a000032715502005200cb808001b30000000000000043050807000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000fe0b4e07be0195510a3131120b000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:25:38+02:00,1,Charging,50,1000000,1870000,16419000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002004e07e80323400000050034000700080000000000be1f00013b000032715502005200cb808001b30000000000000043050801000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000fe0b4e07be0195510a3232130c000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:26:38+02:00,1,Charging,52,1040000,1870000,16443000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002004e0710043b400000050033000700080000000000be2100013d000032715502005200cb808001b300000000000000430507ff0000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000080c4e07be0195510a3434130d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:27:38+02:00,1,Charging,54,1080000,1836000,16443000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002002c0738043b400000050032000700080000000000be1f00013b000031715502005200cb808001b300000000000000430508010000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000080c2c07be0195510a3636140e000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:28:38+02:00,1,Charging,55,1100000,1802000,16443000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002000a074c043b400000050032000700080000000000be1e00013a000030715502005200cb808001b300000000000000430508010000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000080c0a07be0195510a3737140f000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:29:39+02:00,1,Charging,57,1140000,1768000,16443000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200e80674043b400000050032000700080000000000be1d000138000030715502005200cb808001b300000000000000430507fb0000023c4b4b082500a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120ce806be0195510a39391410000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:30:39+02:00,1,Charging,58,1160000,1768000,16443000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200e80688043b400000050032000700080000000000be1d000138000030715502005200cb808001b300000000000000430507ff0000023c4b4b082700a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120ce806be0195510a3a3a1511000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:31:39+02:00,1,Charging,60,1200000,1734000,16466000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200c606b00452400000050032000700080000000000be1c000137000030715502005200cb808001b30000000000000043050801000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120cc606be0195510a3c3c1512000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:32:39+02:00,1,Charging,61,1220000,1700000,16466000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200a406c40452400000050033000700080000000000be20000139000031715502005200cb808001b30000000000000043050801000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120ca406be0195510a3d3d1513000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:33:39+02:00,1,Charging,62,1240000,1666000,16466000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002008206d80452400000050034000700080000000000be1d000136000032715502005200cb808001b30000000000000043050801000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120c8206be0195510a3e3e1614000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:34:40+02:00,1,Charging,64,1280000,1632000,16466000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002006006000552400000050035000700080000000000be1b000136000032715502005200cb808001b300000000000000430508010000023c4b4b083300a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120c6006be0195510a40401615000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:35:40+02:00,1,Charging,65,1300000,1598000,16466000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002003e06140552400000050032000700080000000000be1c000136000031715502005200cb808001b300000000000000430507fb0000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120c3e06be0195510a41411716000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:36:40+02:00,1,Charging,66,1320000,1564000,16466000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002001c06280552400000050033000700080000000000be1e00013c000030715502005200cb808001b300000000000000430508010000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000120c1c06be0195510a42421717000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:37:40+02:00,1,Charging,68,1360000,1530000,16466000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200fa05500552400000050032000700080000000000be1b000133000030715502005200cb808001b300000000000000430508010000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a00001c0cfa05be0195510a44441718000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:38:40+02:00,1,Charging,69,1380000,1496000,16466000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200d805640552400000050032000700080000000000be1b000137000030715502005200cb808001b300000000000000430508010000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a00001c0cd805be0195510a45451819000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:39:40+02:00,1,Charging,70,1400000,1462000,16466000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200b605780552400000050032000700080000000000be1a000132000030715502005200cb808001b300000000000000430507fb0000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a00001c0cb605be0195510a4646181a000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
