ts,phase,ac,charging,capacity,remaining_mwh,wmi_rate_mw,ec_current_ma,ec_voltage_mv,ec_07a6,ec_07b9,ec_07d0,ec_07d1,ec_07cc
2026-09-19T12:04:45+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:51+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:58+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:04+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:10+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:17+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:23+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:29+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:35+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:41+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:48+02:00,cv88_switch_to_highcap,1,1,92,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:05:54+02:00,cv88_switch_to_highcap,1,1,92,27968,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:00+02:00,cv88_switch_to_highcap,1,1,92,27968,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:07+02:00,cv88_switch_to_highcap,1,1,92,27968,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:13+02:00,cv88_switch_to_highcap,1,1,92,27968,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:19+02:00,cv88_switch_to_highcap,1,1,92,27968,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:25+02:00,cv88_switch_to_highcap,1,1,92,27968,12876,748,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:32+02:00,cv88_switch_to_highcap,1,1,92,27968,12317,748,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:38+02:00,cv88_switch_to_highcap,1,1,92,27968,12317,748,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:44+02:00,cv88_switch_to_highcap,1,1,92,27968,12317,748,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:06:51+02:00,cv88_switch_to_highcap,1,1,92,27968,12317,748,16466,0x28,0x00,0x00,0x00,0x00
